City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,port moresby,-9.4431,147.1797,24.64,86,100,1.71,PG,1681410696
269,aba,5.1066,7.3667,30.79,79,58,2.75,NG,1681410696
270,panguna,-6.3164,155.4848,19.91,96,100,0.75,PG,1681410697
271,san quintin,30.4833,-115.95,15.07,63,83,7.46,MX,1681410697
272,burns lake,54.2331,-125.7533,1.68,67,57,2.38,CA,1681410697
273,saldanha,-33.0117,17.9442,17.03,80,59,3.48,ZA,1681410698
274,kropotkin,45.4375,40.5756,9.22,81,100,10.69,RU,1681410681
275,imeni poliny osipenko,52.4201,136.4853,-5.78,82,100,5.89,RU,1681410699
276,sur,22.5667,59.5289,29.94,49,0,2.33,OM,1681410699
277,bandarbeyla,9.4942,50.8122,28.51,75,89,3.96,SO,1681410699
278,dikson,73.5069,80.5464,-21.7,100,100,5.87,RU,1681410699
279,tromso,69.6496,18.957,5.21,65,0,1.03,NO,1681410700
280,osakarovka,50.565,72.5692,10.11,47,100,3.53,KZ,1681410700
281,nefteyugansk,61.0998,72.6035,-17.4,94,36,4.39,RU,1681410191
282,liezen,47.5667,14.2333,3.02,100,100,1.74,AT,1681410700
283,honningsvag,70.9821,25.9704,1.86,75,0,9.77,NO,1681410700
284,soyo,-6.1349,12.3689,26.86,76,49,1.95,AO,1681410701
285,santo antonio do ica,-3.1022,-67.9397,32.05,60,69,0.68,BR,1681410701
286,vestmanna,62.1564,-7.1664,7.51,71,100,2.57,FO,1681410701
287,kangaatsiaq,68.3065,-53.4641,-2.53,81,98,1.07,GL,1681410701
288,port shepstone,-30.7414,30.455,23.35,81,99,1.86,ZA,1681410702
289,xam nua,20.4197,104.0439,20.71,71,28,1.26,LA,1681410702
290,sanandaj,35.3144,46.9923,5.01,75,40,4.12,IR,1681410702
291,manjacaze,-24.7117,33.8828,20.68,78,0,3.5,MZ,1681410702
292,yellowknife,62.456,-114.3525,-4.69,86,100,2.06,CA,1681410702
293,los llanos de aridane,28.6585,-17.9182,20.07,78,75,7.2,ES,1681410703
294,silopi,37.2497,42.4694,8.65,85,82,1.89,TR,1681410703
295,ulladulla,-35.35,150.4667,14.32,88,99,5.04,AU,1681410703
296,nanakuli,21.3906,-158.1547,24.97,68,0,4.12,US,1681410703
297,saint andrews,34.0454,-81.1293,25.16,52,75,4.12,US,1681410703
298,luis correia,-2.8792,-41.6669,28.51,76,100,2.53,BR,1681410704
299,husavik,66.0449,-17.3389,3.25,90,100,2.73,IS,1681410704
300,batagay-alyta,67.8006,130.4114,-16.25,91,100,1.69,RU,1681410704
